Key,Type,Created,Ready for QA,In QA,Ready for Signoff,Done
VD-9132,Bug,2020-07-01,2020-07-06,2020-07-07,,2020-07-07
VD-9131,Bug,2020-06-30,,,,
VD-9130,Story,2020-06-30,,2020-07-03,2020-07-03,2020-07-06
VD-9129,Bug,2020-06-30,,,,
VD-9128,Story,2020-06-30,,,,
VD-9126,Story,2020-06-30,,,,
VD-9124,Bug,2020-06-30,2020-07-02,2020-07-06,,2020-07-06
VD-9122,Bug,2020-06-30,2020-07-01,2020-07-01,,2020-07-01
VD-9120,Story,2020-06-30,,,,
VD-9117,Bug,2020-06-30,2020-07-01,2020-07-01,,
VD-9116,Story,2020-06-30,2020-07-02,2020-07-02,2020-07-03,2020-07-06
VD-9114,Bug,2020-06-30,2020-07-08,,,
VD-9111,Task,2020-06-30,,,,2020-07-06
VD-9110,Story,2020-06-30,,,2020-06-30,2020-07-06
VD-9107,Story,2020-07-02,2020-07-02,2020-07-06,2020-07-06,2020-07-07
VD-9106,Task,2020-07-02,,,,
VD-9105,Story,2020-06-30,,,,
VD-9100,Story,2020-06-30,,,,
VD-9098,Story,2020-06-30,,,,
VD-9097,Bug,2020-06-29,2020-07-02,2020-07-03,,2020-07-03
VD-9096,Bug,2020-06-29,2020-07-06,2020-07-06,,2020-07-07
VD-9094,Bug,2020-06-29,2020-07-01,2020-07-01,,2020-07-01
VD-9092,Bug,2020-06-29,2020-07-01,,,2020-07-01
VD-9091,Story,2020-06-29,,,,
VD-9090,Bug,2020-06-29,2020-06-30,2020-06-30,,2020-06-30
VD-9089,Story,2020-06-29,2020-07-01,,,
VD-9088,Bug,2020-06-29,2020-06-30,2020-06-30,,2020-06-30
VD-9087,Bug,2020-06-27,,,,
VD-9086,Bug,2020-06-27,,2020-07-01,,2020-07-07
VD-9060,Bug,2020-06-26,,,,
VD-9054,Bug,2020-06-26,2020-06-29,,,2020-07-01
VD-9053,Bug,2020-06-26,2020-07-01,2020-07-01,,2020-07-01
VD-9050,Bug,2020-06-25,2020-06-30,2020-06-30,,2020-06-30
VD-9049,Bug,2020-06-25,2020-06-26,2020-06-26,,2020-06-26
VD-9047,Story,2020-06-25,2020-06-25,,,
VD-9046,Story,2020-06-25,2020-06-25,,2020-06-26,
VD-9043,Bug,2020-06-25,2020-07-03,2020-07-03,,2020-07-03
VD-9041,Bug,2020-06-25,,2020-06-26,,2020-06-26
VD-9040,Bug,2020-06-25,2020-06-27,2020-06-29,,2020-06-29
VD-9039,Task,2020-06-25,,2020-06-26,2020-07-01,2020-07-07
VD-9038,Bug,2020-06-25,,,,2020-06-26
VD-9036,Bug,2020-06-24,,2020-06-26,,2020-06-26
VD-9035,Bug,2020-06-24,,2020-06-25,,2020-06-25
VD-9034,Bug,2020-06-24,2020-06-25,2020-06-25,,2020-06-25
VD-9033,Bug,2020-06-24,,,,2020-06-24
VD-9032,Bug,2020-06-24,2020-06-29,2020-06-29,,2020-06-29
VD-9031,Bug,2020-06-24,2020-06-30,2020-06-30,,2020-06-30
VD-9030,Bug,2020-06-24,2020-06-29,2020-06-29,,2020-06-29
VD-9027,Bug,2020-06-24,2020-06-25,,,2020-06-26
VD-9026,Bug,2020-06-24,,,,2020-06-25
VD-9025,Bug,2020-06-24,,,,
VD-9023,Story,2020-06-24,2020-06-30,2020-06-30,2020-06-30,2020-07-01
VD-9019,Bug,2020-06-23,2020-07-01,2020-07-01,,2020-07-01
VD-9018,Bug,2020-06-23,2020-06-27,2020-06-29,,2020-06-29
VD-9017,Bug,2020-06-23,2020-06-28,2020-06-29,,2020-07-03
VD-9015,Bug,2020-06-23,2020-07-02,2020-07-06,,2020-07-06
VD-9014,Bug,2020-06-23,2020-06-30,2020-06-30,,2020-06-30
VD-9013,Story,2020-06-24,2020-06-30,2020-06-30,2020-06-30,2020-06-30
VD-9012,Story,2020-06-25,2020-06-30,2020-06-30,2020-06-30,2020-06-30
VD-9007,Story,2020-06-23,,,,
VD-9006,Bug,2020-06-23,2020-07-02,2020-07-03,,2020-07-03
VD-9005,Bug,2020-06-22,2020-07-02,2020-07-03,,
VD-9002,Bug,2020-06-22,2020-07-06,2020-07-07,,2020-07-07
VD-9000,Task,2020-06-22,,,,
VD-8997,Story,2020-06-22,2020-07-06,2020-07-06,2020-07-07,
VD-8996,Bug,2020-06-22,2020-06-25,2020-06-25,,2020-06-30
VD-8995,Story,2020-06-22,2020-07-01,,2020-07-01,2020-07-06
VD-8994,Story,2020-06-22,2020-06-24,2020-07-01,2020-07-01,2020-07-06
VD-8993,Bug,2020-06-22,2020-06-23,2020-06-24,,2020-06-24
VD-8991,Task,2020-06-23,2020-06-26,2020-06-26,,2020-06-29
VD-8989,Task,2020-06-22,,,,
VD-8988,Task,2020-06-22,,,,2020-06-25
VD-8987,Task,2020-06-22,,2020-06-25,2020-06-26,2020-07-07
VD-8986,Bug,2020-06-22,2020-07-01,2020-07-01,,2020-07-01
VD-8985,Bug,2020-06-22,2020-06-26,2020-06-29,,2020-06-29
VD-8983,Bug,2020-06-22,,,,
VD-8982,Bug,2020-06-22,2020-06-22,2020-06-22,,2020-06-22
VD-8981,Bug,2020-06-22,2020-06-23,2020-06-24,,2020-06-25
VD-8978,Task,2020-06-22,,,,
VD-8977,Task,2020-06-22,,,,
VD-8975,Bug,2020-06-20,2020-07-06,2020-07-06,,2020-07-07
VD-8973,Bug,2020-06-20,2020-06-25,2020-06-26,,
VD-8971,Bug,2020-06-20,2020-06-22,2020-06-23,,2020-06-29
VD-8970,Bug,2020-06-20,2020-06-20,2020-06-20,,2020-06-20
VD-8968,Bug,2020-06-19,2020-06-27,2020-06-29,,2020-06-29
VD-8965,Story,2020-06-19,,,,
VD-8964,Story,2020-06-19,,,,
VD-8963,Bug,2020-06-19,,,,
VD-8960,Bug,2020-06-19,,,,
VD-8959,Task,2020-06-19,2020-06-26,2020-06-26,2020-06-29,2020-07-01
VD-8958,Story,2020-06-19,2020-06-19,2020-06-24,2020-06-26,2020-07-07
VD-8954,Bug,2020-06-18,2020-06-22,2020-06-22,,2020-06-22
VD-8953,Bug,2020-06-18,2020-06-20,2020-06-20,,2020-06-20
VD-8951,Bug,2020-06-18,2020-07-04,,,
VD-8950,Story,2020-06-18,2020-06-30,,,
VD-8949,Bug,2020-06-18,2020-06-22,2020-06-22,,2020-06-22
VD-8947,Story,2020-06-18,,,2020-06-24,2020-07-06
VD-8946,Story,2020-07-07,,,,
VD-8944,Bug,2020-06-18,2020-06-23,,2020-06-24,2020-07-06
VD-8943,Bug,2020-06-18,2020-06-22,2020-06-22,,2020-06-22
VD-8942,Story,2020-06-18,,,2020-06-30,2020-07-06
VD-8941,Bug,2020-06-18,2020-06-21,2020-06-22,,2020-06-22
VD-8940,Bug,2020-06-18,2020-06-19,2020-06-20,2020-06-18,2020-06-20
VD-8939,Story,2020-06-26,,,,
VD-8937,Story,2020-06-18,2020-06-30,2020-07-03,2020-07-03,2020-07-06
VD-8936,Bug,2020-06-18,2020-07-03,,,
VD-8935,Bug,2020-06-18,,,,2020-06-19
VD-8934,Story,2020-06-18,2020-06-24,2020-06-26,2020-06-26,
VD-8933,Bug,2020-06-18,2020-06-27,2020-06-29,,2020-06-29
VD-8931,Bug,2020-06-18,2020-06-19,2020-06-20,,2020-06-20
VD-8930,Bug,2020-06-18,2020-06-19,2020-06-24,,2020-06-26
VD-8929,Bug,2020-06-17,2020-06-18,2020-06-19,,2020-06-19
VD-8928,Bug,2020-06-17,2020-07-02,2020-07-03,,2020-07-03
VD-8927,Bug,2020-06-17,2020-06-29,2020-06-29,,2020-07-03
VD-8924,Story,2020-06-17,2020-06-22,,2020-06-30,2020-07-06
VD-8923,Bug,2020-06-17,2020-06-17,2020-06-18,,2020-06-18
VD-8922,Bug,2020-06-17,,,,
VD-8921,Task,2020-07-02,2020-07-07,,,
VD-8919,Task,2020-06-17,2020-07-02,,,
VD-8918,Bug,2020-06-17,2020-06-17,2020-06-18,,2020-06-18
VD-8917,Bug,2020-06-17,2020-06-25,,,2020-07-01
VD-8916,Bug,2020-06-17,2020-07-07,,,2020-07-07
VD-8915,Bug,2020-06-17,2020-06-20,2020-06-22,,2020-06-23
VD-8913,Task,2020-06-17,,,,
VD-8912,Task,2020-06-17,,,,
VD-8911,Bug,2020-06-17,2020-06-20,2020-06-20,,2020-06-20
VD-8910,Bug,2020-06-17,2020-06-24,,,2020-06-26
VD-8907,Bug,2020-06-17,2020-06-24,2020-06-26,,2020-06-26
VD-8906,Bug,2020-06-17,,,,2020-06-23
VD-8904,Story,2020-06-17,,,,
VD-8903,Bug,2020-06-17,2020-06-19,2020-06-19,,2020-06-19
VD-8902,Bug,2020-06-17,2020-06-19,2020-06-19,2020-06-24,2020-07-06
VD-8901,Task,2020-07-02,,,,
VD-8900,Bug,2020-06-17,2020-06-22,2020-06-22,,2020-06-29
VD-8899,Bug,2020-06-17,2020-06-22,2020-06-22,,
VD-8898,Bug,2020-06-17,2020-06-18,2020-06-19,,2020-06-19
VD-8897,Bug,2020-06-16,2020-07-06,,,2020-07-06
VD-8896,Bug,2020-06-16,2020-06-25,2020-06-25,,2020-06-25
VD-8895,Bug,2020-06-16,2020-06-28,2020-06-29,,2020-06-30
VD-8894,Task,2020-07-02,2020-07-07,,,2020-07-07
VD-8892,Bug,2020-06-16,,,2020-06-18,2020-07-06
VD-8890,Task,2020-06-16,,,,
VD-8888,Bug,2020-06-16,2020-06-16,2020-06-17,,2020-06-17
VD-8887,Bug,2020-06-16,2020-06-17,2020-06-17,,2020-06-18
VD-8885,Story,2020-06-16,2020-06-17,2020-06-18,2020-06-18,2020-06-23
VD-8884,Story,2020-06-25,2020-07-06,,,
VD-8883,Bug,2020-06-16,2020-07-02,2020-07-03,,2020-07-03
VD-8882,Bug,2020-06-16,2020-06-16,2020-06-16,,2020-06-16
VD-8881,Story,2020-06-16,2020-06-17,2020-06-17,2020-06-17,2020-06-23
VD-8880,Story,2020-06-16,2020-06-19,2020-06-22,2020-06-23,2020-06-23
VD-8879,Story,2020-06-16,,,2020-06-16,2020-06-23
VD-8878,Story,2020-06-16,,,2020-06-18,2020-06-23
VD-8876,Bug,2020-06-16,2020-07-01,2020-07-02,,2020-07-03
VD-8875,Bug,2020-06-16,2020-07-01,2020-07-02,,2020-07-03
VD-8874,Task,2020-06-16,2020-06-22,2020-06-24,2020-06-24,2020-06-29
VD-8873,Bug,2020-06-16,2020-06-18,2020-06-23,,2020-06-26
VD-8872,Bug,2020-06-15,2020-06-19,2020-06-19,,2020-06-19
VD-8871,Bug,2020-06-15,,,,2020-06-19
VD-8870,Bug,2020-06-15,2020-06-17,,,2020-06-19
VD-8869,Bug,2020-06-15,2020-06-16,2020-06-17,,2020-06-17
VD-8867,Story,2020-06-15,2020-06-29,2020-07-01,,
VD-8866,Story,2020-06-15,,,2020-06-16,2020-06-23
VD-8865,Bug,2020-06-15,2020-06-30,,,2020-06-30
VD-8864,Bug,2020-06-15,2020-06-26,,,2020-06-26
VD-8863,Bug,2020-06-15,2020-06-18,2020-07-07,,2020-07-07
VD-8861,Story,2020-06-15,2020-06-22,2020-06-22,2020-06-23,2020-06-23
VD-8859,Story,2020-06-15,2020-06-22,2020-06-30,2020-07-02,2020-07-06
VD-8858,Story,2020-06-15,2020-06-16,2020-06-22,2020-06-22,2020-06-23
VD-8856,Task,2020-06-15,2020-06-15,,,2020-06-19
VD-8855,Bug,2020-06-12,,,,
VD-8854,Bug,2020-06-12,,,,
VD-8853,Bug,2020-06-12,2020-06-28,2020-06-29,,2020-06-29
VD-8852,Bug,2020-06-12,2020-06-20,2020-06-22,,2020-06-22
VD-8850,Task,2020-06-12,,,,2020-06-15
VD-8849,Bug,2020-06-12,2020-06-19,,,2020-06-19
VD-8848,Bug,2020-06-12,2020-06-15,,,2020-06-16
VD-8846,Bug,2020-06-12,,2020-06-22,,2020-06-23
VD-8842,Bug,2020-06-12,,,,2020-06-16
VD-8841,Bug,2020-06-12,2020-06-30,2020-07-01,,2020-07-01
VD-8840,Bug,2020-06-11,2020-06-19,,,2020-06-19
VD-8839,Bug,2020-06-11,,2020-06-12,,2020-06-12
VD-8837,Bug,2020-06-11,2020-06-11,,,2020-06-11
VD-8832,Bug,2020-06-11,2020-06-18,,,
VD-8831,Bug,2020-06-10,2020-06-11,,,2020-06-11
VD-8829,Story,2020-06-11,2020-06-12,2020-06-12,2020-06-12,2020-06-23
VD-8828,Task,2020-06-15,2020-06-19,2020-06-22,2020-06-23,2020-06-23
VD-8827,Task,2020-06-29,,,,
VD-8825,Story,2020-06-10,,,2020-06-10,2020-06-11
VD-8824,Task,2020-06-10,2020-06-18,2020-06-19,2020-06-30,2020-06-30
VD-8823,Bug,2020-06-09,2020-06-15,2020-06-16,,2020-06-16
VD-8820,Story,2020-06-09,,,2020-06-15,2020-06-16
VD-8819,Story,2020-06-09,,2020-06-12,2020-06-15,2020-06-16
VD-8818,Story,2020-06-12,2020-06-18,2020-06-19,2020-06-23,2020-06-23
VD-8817,Story,2020-06-09,2020-06-09,2020-06-09,2020-06-12,2020-06-16
VD-8816,Bug,2020-06-09,2020-06-12,2020-06-12,,2020-06-12
VD-8810,Task,2020-06-17,2020-07-03,2020-07-06,2020-07-06,2020-07-06
VD-8808,Bug,2020-06-09,,2020-07-02,,2020-07-02
VD-8807,Story,2020-06-09,2020-06-09,2020-06-17,2020-06-17,2020-06-20
VD-8806,Bug,2020-06-09,2020-06-19,2020-06-19,,2020-06-19
VD-8804,Bug,2020-06-08,,,,2020-07-01
VD-8803,Bug,2020-06-08,,,,2020-06-09
VD-8801,Bug,2020-06-08,,,,2020-06-16
VD-8800,Bug,2020-06-08,2020-06-30,2020-07-01,,2020-07-01
VD-8799,Bug,2020-06-08,2020-06-12,2020-06-12,,2020-06-18
VD-8798,Story,2020-06-10,2020-06-12,2020-06-15,2020-06-19,2020-06-23
VD-8797,Task,2020-06-08,,,,
VD-8796,Story,2020-06-08,2020-06-09,2020-06-15,2020-06-16,2020-06-16
VD-8795,Bug,2020-06-08,,2020-06-09,,2020-06-09
VD-8794,Story,2020-06-22,2020-06-23,2020-06-23,2020-06-24,2020-07-06
VD-8791,Task,2020-06-05,2020-06-17,2020-06-24,2020-06-24,2020-07-07
VD-8790,Story,2020-06-05,2020-06-26,2020-06-26,,
VD-8789,Story,2020-06-05,2020-06-26,2020-06-26,2020-06-29,2020-07-07
VD-8788,Story,2020-06-05,2020-06-26,2020-06-26,2020-07-07,
VD-8787,Bug,2020-06-05,2020-06-09,2020-06-15,,2020-06-15
VD-8786,Bug,2020-06-05,,2020-06-10,,2020-06-10
VD-8785,Bug,2020-06-05,,,,
VD-8784,Bug,2020-06-05,2020-06-15,,,2020-06-16
VD-8781,Bug,2020-06-05,2020-06-19,2020-06-20,,2020-06-20
VD-8780,Task,2020-06-05,2020-06-19,2020-06-22,2020-06-24,2020-07-07
VD-8779,Task,2020-06-05,,,,2020-06-05
VD-8776,Bug,2020-06-05,2020-06-30,2020-06-30,,
VD-8774,Story,2020-06-09,,2020-07-06,2020-07-06,2020-07-06
VD-8773,Story,2020-06-05,2020-06-15,2020-06-15,2020-06-18,2020-06-23
VD-8772,Story,2020-06-05,2020-07-02,2020-07-02,2020-07-07,
VD-8770,Bug,2020-06-04,,,,
VD-8769,Task,2020-06-04,2020-06-05,2020-06-15,2020-06-17,2020-06-23
VD-8767,Story,2020-06-04,,,2020-07-06,2020-07-06
VD-8764,Bug,2020-06-04,2020-06-08,2020-06-09,,2020-06-09
VD-8762,Task,2020-06-04,2020-06-25,2020-06-25,,2020-06-25
VD-8759,Bug,2020-06-04,2020-06-05,,,2020-06-15
VD-8756,Story,2020-06-04,,,2020-06-05,2020-06-08
VD-8755,Story,2020-06-04,2020-06-05,2020-06-09,2020-06-09,2020-06-23
VD-8753,Story,2020-06-04,,,2020-06-24,2020-07-06
VD-8751,Story,2020-06-16,2020-06-25,,2020-07-07,2020-07-07
VD-8747,Story,2020-06-04,2020-06-24,2020-06-24,,
VD-8746,Bug,2020-06-04,,,,
VD-8742,Bug,2020-06-03,2020-06-09,2020-06-15,2020-06-15,2020-06-15
VD-8741,Bug,2020-06-03,2020-06-15,,,2020-06-16
VD-8740,Bug,2020-06-03,2020-06-04,2020-06-08,,2020-06-15
VD-8739,Bug,2020-06-03,,,,2020-06-03
VD-8738,Story,2020-06-03,,,,
VD-8737,Story,2020-06-16,2020-06-17,2020-06-18,2020-06-22,2020-06-23
VD-8736,Story,2020-06-16,2020-06-19,2020-06-23,2020-06-25,2020-06-26
VD-8735,Story,2020-06-16,2020-06-17,2020-06-17,2020-06-23,2020-06-23
VD-8734,Story,2020-06-10,2020-06-15,2020-06-15,2020-06-16,2020-06-17
VD-8733,Bug,2020-06-03,2020-06-15,2020-06-15,,2020-06-29
VD-8732,Bug,2020-06-03,2020-06-04,2020-06-08,,2020-06-15
VD-8731,Story,2020-06-09,2020-06-15,2020-06-15,2020-06-17,2020-06-23
VD-8730,Task,2020-06-03,2020-06-03,,2020-06-24,2020-07-07
VD-8729,Story,2020-06-03,2020-06-17,2020-06-22,,
VD-8728,Bug,2020-06-03,2020-07-01,2020-07-01,2020-07-06,2020-07-06
VD-8727,Bug,2020-06-03,2020-06-08,2020-06-09,,2020-06-09
VD-8726,Bug,2020-06-03,2020-06-04,2020-06-05,,2020-06-05
VD-8725,Story,2020-06-03,,,2020-06-03,2020-07-06
VD-8724,Task,2020-06-03,2020-06-03,2020-06-04,2020-06-09,2020-06-09
VD-8721,Task,2020-06-02,,,,
VD-8719,Task,2020-06-02,2020-06-09,2020-06-15,2020-06-16,2020-06-23
VD-8718,Task,2020-06-02,2020-06-05,2020-07-01,,
VD-8717,Story,2020-06-02,2020-06-25,,2020-06-30,2020-07-06
VD-8714,Bug,2020-06-02,2020-06-17,,,2020-06-18
VD-8713,Bug,2020-06-02,2020-06-08,2020-06-09,,2020-06-09
VD-8710,Story,2020-06-02,,,,
VD-8709,Story,2020-07-07,,,,
VD-8707,Task,2020-06-02,2020-06-15,2020-06-16,2020-06-18,2020-06-23
VD-8706,Story,2020-06-08,2020-06-19,,,2020-06-24
VD-8704,Story,2020-06-02,2020-06-29,,2020-06-29,2020-06-30
VD-8703,Story,2020-06-02,2020-06-08,2020-06-08,2020-06-09,2020-06-23
VD-8702,Story,2020-06-02,,2020-06-05,2020-06-05,2020-06-08
VD-8701,Bug,2020-06-02,2020-06-09,2020-06-15,2020-06-15,2020-06-15
VD-8700,Bug,2020-06-02,2020-06-04,2020-06-17,,2020-06-17
VD-8699,Task,2020-06-12,2020-06-12,2020-06-17,2020-06-19,2020-06-23
VD-8697,Bug,2020-06-02,2020-06-19,2020-06-22,2020-06-22,2020-06-26
VD-8696,Task,2020-06-01,,,,2020-06-22
VD-8695,Bug,2020-06-01,2020-06-03,2020-06-17,,2020-06-17
VD-8693,Story,2020-06-02,2020-06-18,2020-06-22,2020-06-22,2020-06-23
VD-8692,Bug,2020-06-01,2020-06-02,2020-06-02,,2020-06-18
VD-8691,Bug,2020-06-01,2020-06-05,,,2020-06-15
VD-8690,Bug,2020-06-01,2020-06-03,,,2020-06-15
VD-8689,Bug,2020-06-01,2020-06-02,2020-06-02,,2020-06-02
VD-8687,Bug,2020-06-01,2020-06-05,,,2020-06-15
VD-8685,Bug,2020-06-01,,,2020-06-02,2020-06-02
VD-8681,Story,2020-06-01,,,,
VD-8680,Story,2020-06-01,2020-06-02,2020-06-04,2020-06-05,2020-06-08
VD-8679,Bug,2020-06-01,2020-06-25,2020-06-25,,2020-06-25
VD-8678,Story,2020-06-17,,,,2020-06-26
VD-8675,Task,2020-06-01,2020-06-08,2020-06-15,2020-06-17,2020-06-23
VD-8674,Task,2020-05-30,2020-06-02,,2020-06-24,2020-07-07
VD-8673,Task,2020-06-01,2020-06-02,,,2020-06-18
VD-8671,Bug,2020-05-29,2020-06-22,2020-06-24,,2020-06-24
VD-8670,Bug,2020-05-29,2020-06-17,2020-06-18,,2020-06-18
VD-8668,Story,2020-05-29,2020-06-08,2020-06-09,2020-06-09,2020-06-23
VD-8667,Bug,2020-05-29,2020-06-02,2020-06-02,,2020-06-02
VD-8666,Task,2020-06-01,2020-06-05,2020-06-15,2020-06-17,2020-06-23
VD-8664,Bug,2020-05-29,2020-06-24,2020-06-26,,2020-07-01
VD-8662,Task,2020-06-29,,,,
VD-8659,Bug,2020-05-29,,2020-06-01,,2020-06-02
VD-8656,Story,2020-05-29,2020-06-01,2020-06-03,2020-06-04,2020-06-09
VD-8654,Bug,2020-05-28,2020-06-02,2020-06-02,,2020-06-02
VD-8652,Bug,2020-05-28,,,,2020-07-03
VD-8650,Bug,2020-05-28,,,,
VD-8648,Bug,2020-05-28,,,,2020-06-01
VD-8631,Bug,2020-05-28,2020-06-02,2020-06-02,,2020-06-02
VD-8629,Bug,2020-05-28,2020-05-29,,,2020-06-01
VD-8628,Bug,2020-05-28,2020-05-29,,,2020-06-01
VD-8627,Bug,2020-05-28,2020-06-01,,,2020-06-24
VD-8626,Bug,2020-05-28,2020-05-28,,,2020-05-29
VD-8623,Bug,2020-05-28,,,2020-06-01,2020-06-02
VD-8620,Bug,2020-05-27,,,,
VD-8619,Bug,2020-05-27,2020-06-25,,,2020-06-25
VD-8617,Bug,2020-05-27,2020-05-29,,,2020-06-15
VD-8614,Bug,2020-05-27,2020-06-01,2020-06-01,,2020-06-01
VD-8612,Task,2020-05-27,,,,2020-06-09
VD-8611,Bug,2020-05-27,,,,
VD-8610,Bug,2020-05-27,,,,
VD-8609,Bug,2020-05-27,2020-06-01,,,2020-06-02
VD-8605,Bug,2020-05-27,,,,
VD-8604,Bug,2020-05-27,2020-06-01,,,2020-06-15
VD-8603,Bug,2020-05-27,2020-05-31,2020-06-01,,2020-06-15
VD-8601,Bug,2020-05-27,2020-06-05,,,2020-06-22
VD-8600,Bug,2020-05-27,,,,
VD-8597,Story,2020-05-27,2020-05-29,2020-05-29,2020-06-01,2020-06-02
VD-8584,Bug,2020-05-27,2020-06-08,,,2020-06-15
VD-8581,Bug,2020-05-26,2020-05-26,,,2020-05-27
VD-8580,Bug,2020-05-26,2020-06-22,2020-06-24,,2020-06-24
VD-8576,Bug,2020-05-26,2020-06-02,2020-06-02,,2020-06-02
VD-8575,Story,2020-05-26,,,2020-05-26,2020-06-02
VD-8574,Task,2020-05-26,2020-07-07,,,
VD-8572,Task,2020-05-29,,,,
VD-8571,Bug,2020-05-26,2020-06-01,,,2020-06-15
VD-8569,Bug,2020-05-26,2020-06-01,2020-06-02,,2020-06-02
VD-8568,Story,2020-05-26,,,,
VD-8567,Story,2020-05-26,2020-07-08,,,
VD-8565,Bug,2020-05-26,2020-05-29,,,2020-06-01
VD-8562,Bug,2020-05-26,2020-06-22,2020-06-29,,2020-06-29
VD-8561,Bug,2020-05-26,2020-05-26,2020-05-28,,2020-05-28
VD-8560,Task,2020-05-26,,,,
VD-8558,Bug,2020-05-26,2020-05-27,2020-05-28,,2020-05-28
VD-8557,Story,2020-05-26,2020-05-27,,2020-05-27,2020-06-09
VD-8555,Bug,2020-05-26,2020-05-28,2020-05-28,,2020-05-28
VD-8553,Task,2020-05-25,2020-05-25,,,2020-06-15
VD-8552,Bug,2020-05-25,2020-05-25,2020-05-26,,2020-05-29
VD-8550,Bug,2020-05-25,2020-06-01,2020-06-03,,2020-06-03
VD-8549,Story,2020-05-25,2020-05-26,,2020-05-26,2020-06-02
VD-8547,Bug,2020-05-25,2020-05-27,2020-07-07,,2020-07-07
VD-8546,Story,2020-06-22,2020-06-26,2020-06-29,2020-06-29,2020-06-30
VD-8545,Story,2020-05-27,2020-06-03,2020-06-05,2020-06-08,2020-06-09
VD-8544,Task,2020-05-24,2020-05-25,,,2020-06-18
VD-8543,Bug,2020-05-22,2020-05-29,2020-05-29,,2020-06-01
VD-8542,Task,2020-05-22,,,,2020-07-06
VD-8540,Bug,2020-05-22,2020-05-27,2020-05-28,,2020-05-29
